OBJECTID,Elevation,name,SHAPESTArea,SHAPESTLength
1,768.42700195,Alpha & Omega Church,4512.97178391338,275.425127689037
2,766.45697021,Alpha & Omega Church,4387.74221162997,265.390370770555
3,756.41638183,Emmanuel Memorial Episcopal Church,14358.1891332761,777.931316941573
4,777.49365234,First Prebyterian Church,8940.66551923389,447.670737315629
5,815.09875488,First United Methodist Church,20657.7570894692,701.377170726986
6,780.28045654,First Church Of Christ Scientist,11231.2558990127,587.121958272968
7,795.07800292,First Presbyterian Church,8403.04239153959,446.703484926761
8,745.08984375,Deliverance Temple Apostolic Church,1870.81527235503,201.46470465374
9,748.81921386,Sheriffs Temple,3940.72919974111,267.921501823794
10,751.36712646,Church of the Redeemer,1578.27948935137,161.202159639678
11,749.18499755,New Free Will Baptist Church,757.290332973596,110.110905996348
12,747.91107177,New Free Will Baptist Church,175.480669944208,53.1452556760759
13,747.79504394,New Hope Church Of God In Christ,2604.14742401591,211.188863421123
14,754.51641845,Grove Street Church of God in Christ,4207.80763603456,268.614113189907
15,749.54998779,New Free Will Baptist Church,2166.41742353669,207.321702997103
16,744.17999267,Macedonia Baptist Church,157.309576647578,50.2363232645996
17,746.62585449,St Luke Church,2176.03057658986,205.214232395391
18,743.98114013,Macedonia Baptist Church,4574.23815918594,274.443627217482
19,762.92852783,St Luke Church,3237.04142681913,244.834531311536
20,749.92254638,Church of Living God,7143.19425181556,488.403620715749
21,749.0817871,Church of the Living God Pillar and Ground of the Truth,2555.8964841725,213.618303228535
22,747.86523437,Mt Olive Baptist Church,15759.442129419,755.56242026352
23,754.65307617,Church of the Brethren,514.343189450452,90.7588492523844
24,750.85186767,Mt Olive Baptist Church,8667.373489543,443.949609001728
25,771.45776367,Church of the Brethren,4570.83237941418,318.777623882973
26,742.94396972,House of Prayer,1427.74947449881,160.392145507907
27,750.52551269,Powerhouse Church of God,4127.71241029651,287.58160255325
28,749.53497314,Pilgrim Baptist Church,16396.3555822458,681.513083681726
29,744.37756347,Apostolic Faith Church,3329.46555754688,262.087337747921
30,761.69000244,University Baptist Church,3986.10062111094,328.256910256718
31,789.23999023,University Baptist Church,3294.61095545241,267.536601807576
32,760.4500122,University Baptist Church,3423.08795142846,256.972223651693
33,767.97698974,University Baptist Church,6169.9010006872,333.128523514094
34,769.40997314,Community United Church of Christ,9952.23771155768,446.053344938028
35,767.0960083,Hillel Foundation,12255.338201351,481.264793876003
36,764.15197753,McKinley Presbyterian Church,31512.8566581259,1623.95256103425
37,763.39001464,University Place Christian Church & Illinois Disciples Foundation,19156.0580342101,986.38761591897
38,742.45599365,Bethel African Methodist Episcopal Church,2525.2931817143,228.791330293222
39,752.86999511,Bethel African Methodist Episcopal Church,4996.02104433029,334.487158135692
40,748.82000732,St Marys Catholic Church,167.412254726904,59.5921322666139
41,740.91998291,Park Avenue Seventh Day Adventist Church,4276.06849061327,280.877436037733
42,769.39001464,St Marys Catholic Church,2423.51320441528,218.316099812696
43,759.33001708,Salem Baptist Church,17580.4549996377,730.701722349063
44,778.25,St Marys Catholic Church,5538.85594160971,337.236115390422
45,749.59997558,St Marys Catholic Church,895.728806294012,120.530418110574
46,752.26000976,St Marys Catholic Church,4668.9314199848,284.384456897084
47,759.44000244,Canaan Baptist Church,1480.87990549468,168.875022564642
48,753.20501708,Empty Tomb,8091.67969766553,362.116005942024
49,750.46002197,Servants of Holy Heart Mary,9748.44319313017,609.19347650687
50,741.76855468,Church of Jesus Christ LDS,28139.1859850328,926.090780295822
51,760.87756347,Sinai Temple,28025.9635776708,921.699594603956
52,740.44030761,Sinai Temple,666.273376565165,103.249863129218
53,743.57867431,Apostolic Christian Church,12877.1037205275,607.139492352065
54,743.16204833,Good Shepherd Lutheran Church,18471.0429643124,968.626078179347
55,757.56231689,Three Hierarchs Greek Orthodox Church,7916.0174929455,443.246180979951
56,756.72393798,Three Hierarchs Greek Orthodox Church,3519.77783034692,277.350091075977
57,727.6887207,Meadowbrook Community Church,109.235389032257,41.8503574077765
58,728.11468505,Meadowbrook Community Church,120.708966928805,44.1230785345742
59,731.25537109,Mattis Avenue Free Methodist Church,18139.3218924503,555.205863085762
60,735.43731689,Meadowbrook Community Church,43959.4108852558,1281.13040727343
61,747.63726806,Temple Baptist Church,14553.741584844,782.781297394348
